Internal ID,Name,Display Name,Description,Type,On Hand,Available,Preferred Location
293,DAISY-LRG-PR,DAISY-LRG-PR,Daisy - Large - Purple,Inventory Item,10982,10982,Pride Industries
294,DAISY-LRG-YW,DAISY-LRG-YW,Daisy - Large - Yellow,Inventory Item,2992,2992,Pride Industries
339,DAISY-PLG-PK,DAISY-PLG-PK,Daisy Plug - Pink,Inventory Item,1454,1454,Pride Industries
322,DAISY-PLG-PR,DAISY-PLG-PR,Daisy Plug - Purple,Inventory Item,10830,10830,Pride Industries
323,DAISY-PLG-YW,DAISY-PLG-YW,Daisy Plug - Yellow,Inventory Item,4856,4856,Pride Industries
319,DAISY-SML-PK,DAISY-SML-PK,Daisy - Small - Pink,Inventory Item,2964,2964,Pride Industries
295,DAISY-SML-PR,DAISY-SML-PR,Daisy - Small - Purple,Inventory Item,10166,10166,Pride Industries
296,DAISY-SML-YW,DAISY-SML-YW,Daisy - Small - Yellow,Inventory Item,1445,1445,Pride Industries
3774,FLAKA-ASSY,FLAKA-ASSY,Flower- Activity kit assembly A ,Assembly/Bill of Materials,1249,1249,Pride Industries
3775,FLAKB-ASSY,FLAKB-ASSY,Flower- Activity kit assembly B,Assembly/Bill of Materials,1249,1249,Pride Industries
3776,FLAKC-ASSY,FLAKC-ASSY,Flower- Activity kit assembly C,Assembly/Bill of Materials,1249,1249,Pride Industries
3777,FLAKD-ASSY,FLAKD-ASSY,Flower- Activity kit assembly D,Assembly/Bill of Materials,1249,1249,Pride Industries
249,FLW-BASE-BR,FLW-BASE-BR,Build-a-Bouquet Flower Base - Dark Green,Inventory Item,125571,125571,Pride Industries
230,FLW-STEM-GR-LRG,FLW-STEM-GR-LRG,Build-a-Bouquet Flower Stems - Light Green - Large,Inventory Item,58130,58130,Pride Industries
231,FLW-STEM-GR-SML,FLW-STEM-GR-SML,Build-a-Bouquet Flower Stems - Light Green - Small,Inventory Item,48544,48544,Pride Industries
618,FLWA-1012,FLWA-1012,Green Toys Build-a-Bouquet,Assembly/Bill of Materials,6428,2570,Pride Industries
4274,FLWA2-1285,FLWA2-1285,Green Toys Build-a-Bouquet 4C ,Assembly/Bill of Materials,4442,4328,Pride Industries
3778,FRST-PK,FRST-PK,Cupcake Frosting Pink ,Inventory Item,6,6,Pride Industries
3784,FRST-VN,FRST-VN,Cupcake Frosting Vanilla ,Inventory Item,2,2,Pride Industries
3781,FRST-YW,FRST-YW,Cupcake Frosting Yellow ,Inventory Item,9,9,Pride Industries
262,HAM01R-GR,HAM01R-GR,Hammer - DK Green - CC10118086WE,Inventory Item,8320,8320,Pride Industries
268,HAM01R-PR,HAM01R-PR,Hammer - Purple - CC10107344WE,Inventory Item,6959,6959,Pride Industries
252,HAN01R-GR,HAN01R-GR,Tool Box Handle - Green - CC10106972WE,Inventory Item,5907,5907,Pride Industries
253,HAN01R-YW,HAN01R-YW,Toolbox Handle - Yellow - CC10106976WE,Inventory Item,13300,13300,Pride Industries
232,KTB01R-B,KTB01R-B,Kettle Bottom - Redesign - Blue 298U-CC10106972WE,Inventory Item,1163,1381,Pride Industries
258,KTB01R-PK2,KTB01R-PK2,PBK Pink Kettle Bottom - Redesign,Inventory Item,200,200,Pride Industries
