Internal ID,Item,Name,Display Name,Description,Type,On Hand,Available,Preferred Location,NEW LOCATION,QTY2TRNSFR,LINE,EXTID
261,CUP01R-R CUP01R-R,CUP01R-R,CUP01R-R,Tea Cup - Red Cap - CC10126692WE,Inventory Item,1110,14662,Pride Industries,153 Tigers Hayward,1110,49,pride2tigers
232,KTB01R-B KTB01R-B,KTB01R-B,KTB01R-B,Kettle Bottom - Redesign - Blue 298U-CC10106972WE,Inventory Item,1163,1381,Pride Industries,153 Tigers Hayward,1163,50,pride2tigers
3774,FLAKA-ASSY FLAKA-ASSY,FLAKA-ASSY,FLAKA-ASSY,Flower- Activity kit assembly A ,Assembly/Bill of Materials,1249,1249,Pride Industries,153 Tigers Hayward,1249,51,pride2tigers
3775,FLAKB-ASSY FLAKB-ASSY,FLAKB-ASSY,FLAKB-ASSY,Flower- Activity kit assembly B,Assembly/Bill of Materials,1249,1249,Pride Industries,153 Tigers Hayward,1249,52,pride2tigers
3776,FLAKC-ASSY FLAKC-ASSY,FLAKC-ASSY,FLAKC-ASSY,Flower- Activity kit assembly C,Assembly/Bill of Materials,1249,1249,Pride Industries,153 Tigers Hayward,1249,53,pride2tigers
3777,FLAKD-ASSY FLAKD-ASSY,FLAKD-ASSY,FLAKD-ASSY,Flower- Activity kit assembly D,Assembly/Bill of Materials,1249,1249,Pride Industries,153 Tigers Hayward,1249,54,pride2tigers
296,DAISY-SML-YW DAISY-SML-YW,DAISY-SML-YW,DAISY-SML-YW,Daisy - Small - Yellow,Inventory Item,1445,1445,Pride Industries,153 Tigers Hayward,1445,55,pride2tigers
339,DAISY-PLG-PK DAISY-PLG-PK,DAISY-PLG-PK,DAISY-PLG-PK,Daisy Plug - Pink,Inventory Item,1454,1454,Pride Industries,153 Tigers Hayward,1454,56,pride2tigers
307,LILY-SML-PR LILY-SML-PR,LILY-SML-PR,LILY-SML-PR,Lily - Small - Purple,Inventory Item,1891,7392,Pride Industries,153 Tigers Hayward,1891,57,pride2tigers
413,PKGFLWARIS01 PKGFLWARIS01,PKGFLWARIS01,PKGFLWARIS01,Build-a-Bouquet Retail Insert - Flower Part holder - 150E,Inventory Item,1891,1891,Pride Industries,153 Tigers Hayward,1891,58,pride2tigers
3940,SCBK-1190 SCBK-1190,SCBK-1190,SCBK-1190,Book & Scooper Set - Closed Box ,Assembly/Bill of Materials,1901,1900,Pride Industries,153 Tigers Hayward,1901,59,pride2tigers
4221,PKGDSTMCT PKGDSTMCT,PKGDSTMCT,PKGDSTMCT,Dough Set Master Carton; 200T  ,Inventory Item,2000,2000,Pride Industries,153 Tigers Hayward,2000,60,pride2tigers
276,BUN01R-T BUN01R-T,BUN01R-T,BUN01R-T,Sandwich Shop Burger Bun Top,Inventory Item,2085,2085,Pride Industries,153 Tigers Hayward,2085,61,pride2tigers
312,PETUNIA-PLG-YW PETUNIA-PLG-YW,PETUNIA-PLG-YW,PETUNIA-PLG-YW,Petunia Plug - Yellow,Inventory Item,2099,2099,Pride Industries,153 Tigers Hayward,2099,62,pride2tigers
282,BUR01R BUR01R,BUR01R,BUR01R,Sandwich Shop Burger Patty,Inventory Item,2218,2218,Pride Industries,153 Tigers Hayward,2218,63,pride2tigers
