"Item Code",Description,"Netstock Unit of Measure","Unit Volume","Unit Weight","Superseded Item Code","Supersession Item Factor","Not Used","Unique Identifier"
KNTA-1502,"GT Twist Teether",,,.06,,,,134
KYBB-1234,"First Keys & Board Book 
",,,0,,,,4068
KYSA-1037,"GT  My First Keys",,,.28,,,,128
KYSA-1047,"GT  My First Keys - PBK",,,.28,,,,90
LBBK-1191,"Book & Launch Boat Set - Closed Box
",,,.43,,,,3941
MCHF-1280,"Chef Set - (DM) - Mesh Bag Assembly",,,0,,,,4202
MFBR-PBK,"PBK Mini Fastback - Red",,,,,,,750
MPCB-PBK,"PBK Mini Police Car - Blue",,,,,,,752
MTEA-1225,"Tea Set - (DM) - Custom Colors, Mesh Bag",,,0,,,,3989
MTUG-1250,"DM Tug Boat - Assorted, Blue, Yellow, Green
",,,,,,,4023
MVFA-1022,"GT  Mini Fastback Set - 4 Pack",,,,,,,815
MVHA-1014,"GT  Mini Vehicle Set - 4 Pack",,,,,,,816
MVP1-1165,"Green Toys Mini Vehicle 4-Pack..
",,,,,,,3608
MVSA-1016,"GT  Mini Vehicles - Assortment with Display",,,,,,,817
MVT1-1164,"Green Toys Mini Vehicle Display - Fastbacks....
",,,,,,,3609
MWTC-1249,"DM Watering Can 
",,,,,,,4024
PBCC-1195,"PBK Custom Cupcake Set",,,,,,,3496
PBTA-1049,"Green Toys PBK Pink & Lavender Tea Set 2013",,,2.38,,,,1047
PFIR-1156,"Green Toys Fire Station Playset....",,,,,,,2853
PFRM-1158,"Green Toys Farm Playset..",,,,,,,2854
PHSE-1239,"Green Toys House Playset",,,,,,,4094
PLTA-1539,"Green Eats Plates - 2 per set - Assortedr",,,.53,,,,47
PLTB-1508,"Green Eats Plates - 2 per set - Blue",,,.53,,,,71
PLTG-1510,"GT  Planting Kit with Trowel - Green Flower Pot",,,.53,,,,757
PLTG-1553,"Green Eats Plates - 2 per set - Green",,,.53,,,,67
PLTO-1547,"Green Eats Plates - 2 per set - Orange",,,.53,,,,61
PLTY-1043,"GT  Planting Kit with Trowel - Yellow Flower Pot",,,.53,,,,17
PLTY-1548,"Green Eats Plates - 2 per set - Yellow",,,.53,,,,62
PMVF-1081,"PBS Kids GT  Mini Fastback Set - 4 Pack",,,,,,,31
PTRB-1153,"Green Toys Pick-Up Truck - Blue......
",,,,,,,3610
PZA1-1163,"Green Toys Assorted Puzzles....
",,,,,,,3603
PZDT-1161,"Green Toys Dump Truck Puzzle....
",,,,,,,3604
PZG6-1184,"Green Toys Garden Puzzle..
",,,,,,,3499
PZGA-1162,"Green Toys Garden Puzzle..
",,,,,,,3605
PZTP-1160,"Green Toys Tea Time Puzzle....
",,,,,,,3606
RACA-1509,"GT  Race Car - Assortment - red and blue cars",,,.22,,,,23
RACB-1479,"GT  Race Car - Blue",,,.22,,,,118
RACB-6XPK,"GT  Race Car - Blue - 6 Unit Master",,,.22,,,,760
RACG-4H,"GT  Race Car - Dark Green - PCR362 DK Green",,,.22,,,,761
RACO-1035,"GT  Race Car - Orange - PCR180C",,,.22,,,,60
RACP-1480,"GT  Race Car - Pink",,,.22,,,,119
RACP-6XPK,"GT  Race Car - Pink - 6 Pack Master",,,.22,,,,762
RACR-1478,"GT  Race Car - Red",,,.22,,,,123
RACR-6XPK,"GT  Race Car - Red - 6 Unit Master",,,.22,,,,763
RACT-1008,"GT  Race Car - Assortment red, blue and pink",,,.29,,,,26
RBH1-1155,"Green Toys Rescue Boat assembled ",,,0,,,,2061
RCEL-1066,"GT  Elephant-on-Wheels",,,.38,,,,96
RCEL-ASSY,"GT  Elephant-on-Wheels - Elephant with tag only",,,.38,,,,4176
RCPG-1067,"GT  Pig-on-Wheels",,,.38,,,,125
RCSA-1069,"GT  Animals-on-Wheels Assortment",,,.53,,,,59
RCTR-1068,"GT  Turtle-on-Wheels",,,.38,,,,108
RKTA-1041,"GT  Rocket - Assorted",,,3.18,,,,105
RKTB-1039,"GT  Rocket - Blue",,,3.18,,,,126
