Customer Internal ID,Client,Service Type,Contract Date
1526,Twitter,Annual Retainer,1-Aug-16
15011,Freeport,Annual Retainer,21-Jul-16
76,HP Inc,Annual Retainer,19-Jul-16
53,Computer Sciences Corp,SoP,15-Jul-16
2429,Allstate,Annual Retainer,14-Jul-16
2429,Allstate,Shareholder Proposal,14-Jul-16
105,Phillips 66,Annual Retainer,12-Jul-16
105,Phillips 66,SoP,12-Jul-16
1528,Western Digital,Annual Retainer,5-Jul-16
118,Tenet Health,Annual Retainer,30-Jun-16
1524,Allergan,Annual Retainer,29-Jun-16
1524,Allergan,Shareholder Proposal,29-Jun-16
1524,Allergan,SoP,29-Jun-16
1524,Allergan,Vote No,29-Jun-16
116,Target,Annual Retainer,29-Jun-16
1452,Intercontinental Exchange,Other,21-Jun-16
111,Simpson Manufacturing ,Annual Retainer,16-Jun-16
111,Simpson Manufacturing ,SoP,16-Jun-16
115,Take Two Interactive,Annual Retainer,8-Jun-16
115,Take Two Interactive,Shareholder Proposal,8-Jun-16
115,Take Two Interactive,SoP,8-Jun-16
1444,Exelon,SoP,3-Jun-16
119,Texas Instruments,Annual Retainer,1-Jun-16
57,DOW,M&A,31-May-16
12567,Republic Services,Annual Retainer,30-May-16
79,JPMorgan,Annual Retainer,26-May-16
1434,Chevron,Annual Retainer,25-May-16
1434,Chevron,SoP,25-May-16
1428,Autodesk,Annual Retainer,24-May-16
15011,Freeport,SoP,23-May-16
1434,Chevron,SoP,10-May-16
74,Honeywell,Annual Retainer,10-May-16
74,Honeywell,SoP,10-May-16
35,Axiall,M&A,26-Apr-16
78,Intuit,Annual Retainer,26-Apr-16
110,Sempra Energy,SoP,24-Apr-16
47,Cardinal Health,Annual Retainer,19-Apr-16
2436,Ebay,Annual Retainer,15-Apr-16
2436,Ebay,Shareholder Proposal,15-Apr-16
56,Dover Corporation,Vote No,12-Apr-16
135,XL Group,Annual Retainer,11-Apr-16
135,XL Group,SoP,11-Apr-16
98,Norfolk Southern,M&A,8-Apr-16
98,Norfolk Southern,Shareholder Proposal,8-Apr-16
41,Brocade,Annual Retainer,7-Apr-16
1447,Gilead Sciences,Annual Retainer,7-Apr-16
39,BorgWarner,Annual Retainer,1-Apr-16
39,BorgWarner,SoP,1-Apr-16
39,BorgWarner,Vote No,1-Apr-16
31,AT&T,Annual Retainer,31-Mar-16
51,Citrix,SoP,31-Mar-16
132,Vornado,Vote No,18-Mar-16
79,JPMorgan,Shareholder Proposal,16-Mar-16
79,JPMorgan,SoP,16-Mar-16
82,Kroger,Annual Retainer,16-Mar-16
97,News Corp,Annual Retainer,11-Mar-16
97,News Corp,Shareholder Proposal,11-Mar-16
88,McDermott,SoP,9-Mar-16
103,Pfizer,Annual Retainer,8-Mar-16
103,Pfizer,M&A,8-Mar-16
103,Pfizer,SoP,8-Mar-16
27,AMC Networks,Annual Retainer,7-Mar-16
87,Mattel,Shareholder Proposal,7-Mar-16
20,Acxiom,SoP,26-Feb-16
28,Amgen,Annual Retainer,25-Feb-16
1434,Cisco,Annual Retainer,24-Feb-16
1452,International Paper,Annual Retainer,24-Feb-16
33,Avery Dennison,Annual Retainer,22-Feb-16
19,Abbvie,SoP,19-Feb-16
14508,Bank of America,Annual Retainer,12-Feb-16
91,Microsoft,SoP,11-Feb-16
28,Apache,Annual Retainer,3-Feb-16
28,Apache,SoP,3-Feb-16
123,Time Warner Inc,Annual Retainer,1-Feb-16
123,Time Warner Inc,Other,1-Feb-16
1442,Disney,Annual Retainer,29-Jan-16
1442,Disney,SoP,29-Jan-16
115,Sysco,Activism,29-Jan-16
118,Tesla,Shareholder Proposal,26-Jan-16
20,ADP,Annual Retainer,20-Jan-16
128,Varian Medical,SoP,18-Jan-16
25,AIG,Activism,14-Jan-16
15013,US Steel,SoP,14-Jan-16
91,Microsoft,Annual Retainer,6-Jan-16
80,Kilroy,Annual Retainer,22-Dec-15
136,Yahoo,Activism,10-Dec-15
16043,Leucadia,Annual Retainer,9-Dec-15
16043,Leucadia,SoP,9-Dec-15
16042,Corning,Annual Retainer,8-Dec-15
16042,Corning,SoP,8-Dec-15
113,Staples,Annual Retainer,8-Dec-15
83,LabCorp,Annual Retainer,3-Dec-15
132,Vornado,Annual Retainer,3-Dec-15
98,Norfolk Southern,M&A,27-Nov-15
99,Northrop Grumman ,Annual Retainer,24-Nov-15
118,Tenet Health,Other,20-Nov-15
56,Dover Corporation,Annual Retainer,18-Nov-15
15011,Freeport,Activism,18-Nov-15
15011,Freeport,Annual Retainer,18-Nov-15
65,Exxon,Shareholder Proposal,17-Nov-15
61,Edwards Lifesciences,Annual Retainer,11-Nov-15
80,Kate Spade,SoP,4-Nov-15
69,General Mills,Annual Retainer,1-Nov-15
88,McDonald's,Activism,29-Oct-15
88,McDonald's,Annual Retainer,29-Oct-15
110,Sempra Energy,Annual Retainer,29-Oct-15
91,Medical Prop Trust,SoP,28-Oct-15
26,Alexander & Baldwin,Activism,16-Oct-15
26,Alexander & Baldwin,Annual Retainer,16-Oct-15
126,Tower Watson,M&A,15-Oct-15
48,Cheniere,Annual Retainer,14-Oct-15
48,Cheniere,SoP,14-Oct-15
101,Omnicom,Annual Retainer,8-Oct-15
101,Omnicom,Shareholder Proposal,8-Oct-15
101,Omnicom,Vote No,8-Oct-15
102,Pepsi,Annual Retainer,6-Oct-15
109,Salesforce,Annual Retainer,5-Oct-15
109,Salesforce,SoP,5-Oct-15
125,Tivo,SoP,2-Oct-15
23,Aflac,Annual Retainer,1-Oct-15
68,General Dynamics,Annual Retainer,30-Sep-15
31,Atlas,Annual Retainer,25-Sep-15
31,Atlas,SoP,25-Sep-15
92,Morgan Stanley,Annual Retainer,25-Sep-15
87,Mattel,Annual Retainer,22-Sep-15
19,Abbvie,Annual Retainer,18-Sep-15
71,Goodyear,Annual Retainer,10-Sep-15
57,DOW,Activism,8-Sep-15
105,Phillips 66,SoP,27-Aug-15
55,Delta Air Lines,Annual Retainer,21-Aug-15
75,HP Enterprise,Annual Retainer,17-Aug-15
76,HP Inc,Annual Retainer,17-Aug-15
62,Equifax,Annual Retainer,12-Aug-15
58,Duke Energy,Annual Retainer,11-Aug-15
105,Phillips 66,Annual Retainer,1-Aug-15
115,Sysco,Annual Retainer,24-Jul-15
111,Simpson Manufacturing ,Annual Retainer,23-Jul-15
111,Simpson Manufacturing ,SoP,23-Jul-15
118,Tenet Health,Annual Retainer,22-Jul-15
76,HP Inc,Annual Retainer,20-Jul-15
1434,Cisco,Shareholder Proposal,14-Jul-15
102,Oracle,SoP,11-Jul-15
133,Walmart,Annual Retainer,1-Jul-15
14508,Bank of America,Shareholder Proposal,30-Jun-15
25,AIG,Activism,29-Jun-15
48,Caterpillar Inc,SoP,26-Jun-15
53,Computer Sciences Corp,Annual Retainer,16-Jun-15
115,Take Two Interactive,Annual Retainer,16-Jun-15
115,Take Two Interactive,SoP,16-Jun-15
116,Target,Annual Retainer,16-Jun-15
40,Bristol-Myers Squibb,Annual Retainer,12-Jun-15
40,Bristol-Myers Squibb,SoP,12-Jun-15
119,Texas Instruments,Annual Retainer,11-Jun-15
12567,Republic Services,Annual Retainer,3-Jun-15
79,JPMorgan,Annual Retainer,2-Jun-15
88,McDermott,Annual Retainer,1-Jun-15
48,Caterpillar Inc,SoP,30-May-15
87,Mattel,Shareholder Proposal,26-May-15
22,Aetna,M&A,24-May-15
78,Intuit,Annual Retainer,20-May-15
36,Babcock & Wilcox,Annual Retainer,15-May-15
47,Cardinal Health,Annual Retainer,6-May-15
1447,Gilead Sciences,Annual Retainer,5-May-15
28,Apache,Annual Retainer,29-Apr-15
28,Apache,SoP,29-Apr-15
88,McDermott,SoP,28-Apr-15
88,McDermott,Vote No,28-Apr-15
40,Bristol-Myers Squibb,SoP,22-Apr-15
65,Exxon,Shareholder Proposal,15-Apr-15
85,Macerich,Vote No,15-Apr-15
36,Babcock & Wilcox,SoP,14-Apr-15
41,Brocade,Annual Retainer,7-Apr-15
41,Brocade,Shareholder Proposal,7-Apr-15
41,Brocade,Vote No,7-Apr-15
106,Priceline,Shareholder Proposal,7-Apr-15
31,AT&T,Annual Retainer,1-Apr-15
74,Honeywell,Annual Retainer,27-Mar-15
74,Honeywell,SoP,27-Mar-15
30,Ariad,Activism,26-Mar-15
1434,Cisco,Annual Retainer,25-Mar-15
79,JPMorgan,Shareholder Proposal,24-Mar-15
79,JPMorgan,SoP,24-Mar-15
131,VMware,Annual Retainer,17-Mar-15
46,Cablevision,Annual Retainer,13-Mar-15
46,Cablevision,Vote No,13-Mar-15
103,Pfizer,Annual Retainer,13-Mar-15
88,McDonald's,Shareholder Proposal,10-Mar-15
88,McDonald's,SoP,10-Mar-15
88,McDonald's,Vote No,10-Mar-15
24,Agilent Technologies,SoP,4-Mar-15
33,Avery Dennison,Annual Retainer,4-Mar-15
85,Marathon,Shareholder Proposal,3-Mar-15
85,Macerich,Annual Retainer,26-Feb-15
123,Time Warner Inc,Annual Retainer,26-Feb-15
123,Time Warner Inc,SoP,26-Feb-15
103,Pfizer,SoP,9-Feb-15
27,AMC Networks,Annual Retainer,5-Feb-15
48,Cheniere,SoP,4-Feb-15
89,McKesson,Annual Retainer,27-Jan-15
46,California Resources,Annual Retainer,20-Jan-15
15011,Freeport,Shareholder Proposal,16-Jan-15
15011,Freeport,SoP,16-Jan-15
80,Kilroy,Annual Retainer,13-Jan-15
1528,WindStream,Annual Retainer,2-Jan-15
1528,WindStream,Shareholder Proposal,2-Jan-15
71,Goldman Sachs,Annual Retainer,1-Jan-15
14508,Bank of America,Annual Retainer,23-Dec-14
14508,Bank of America,Shareholder Proposal,23-Dec-14
14508,Bank of America,Vote No,23-Dec-14
96,New York Community Bancorp,Annual Retainer,22-Dec-14
83,LabCorp,Annual Retainer,18-Dec-14
132,Vornado,Annual Retainer,18-Dec-14
1442,Disney,Annual Retainer,16-Dec-14
1442,Disney,SoP,16-Dec-14
113,Staples,Annual Retainer,12-Dec-14
113,Staples,SoP,12-Dec-14
16043,Leucadia,Annual Retainer,9-Dec-14
16043,Leucadia,SoP,9-Dec-14
116,Target,SoP,5-Dec-14
19,Abbvie,Annual Retainer,2-Dec-14
69,General Mills,Annual Retainer,25-Nov-14
1451,Incapture Investments,Other,21-Nov-14
48,Cheniere,Annual Retainer,30-Oct-14
31,Atlas,Annual Retainer,27-Oct-14
31,Atlas,SoP,27-Oct-14
62,EMC,Activism,20-Oct-14
71,Goodyear,Annual Retainer,20-Oct-14
