Internal ID,project internal ID,Name,customer internal ID,Customer,Class,Contract Date,Start Date,Status,Project Type,Projected End Date
1716,1716,Occidental Petroleum Corporation : Occidental SoP 2013,1457,Occidental Petroleum Corporation,,4/25/2013,4/25/2013, ,,
8359,8359,Omnicom : Omnicom Annual Retainer 2016,101,Omnicom,,10/11/2016,10/1/2016, ,,
1717,1717,Omnicom : Omnicom Shareholder Proposal 2015,101,Omnicom,,10/8/2015,5/1/2016, ,,
1718,1718,Oracle : Oracle SoP 2014,102,Oracle,,10/1/2014,10/1/2014, ,,
1719,1719,Oracle : Oracle SoP 2015,102,Oracle,,7/11/2015,7/11/2015, ,,
1722,1722,"PepsiCo, Inc. : Pepsi Activism 2013",103,"PepsiCo, Inc.",,8/29/2013,8/29/2013, ,,
1723,1723,"PepsiCo, Inc. : Pepsi Activism 2014",103,"PepsiCo, Inc.",,8/30/2014,8/30/2014, ,,
1720,1720,"PepsiCo, Inc. : Pepsi Annual Retainer 2012",103,"PepsiCo, Inc.",,11/20/2012,11/20/2012, ,,
1721,1721,"PepsiCo, Inc. : Pepsi Annual Retainer 2013",103,"PepsiCo, Inc.",,6/26/2013,6/26/2013, ,,
1724,1724,"PepsiCo, Inc. : Pepsi Annual Retainer 2015",103,"PepsiCo, Inc.",,10/6/2015,10/1/2015, ,,
1725,1725,Pfizer Inc. : Pfizer Annual Retainer 2013,104,Pfizer Inc.,,2/21/2013,3/1/2013, ,,
1726,1726,Pfizer Inc. : Pfizer Annual Retainer 2014,104,Pfizer Inc.,,3/20/2014,3/7/2014, ,,
1728,1728,Pfizer Inc. : Pfizer Annual Retainer 2015,104,Pfizer Inc.,,3/13/2015,3/7/2015, ,,
16696,16696,Pfizer Inc. : Pfizer Annual Retainer 2017,104,Pfizer Inc.,Annual Retainer,2/28/2017,3/7/2017,Awarded,,
1729,1729,Pfizer Inc. : Pfizer M&A 2016,104,Pfizer Inc.,,3/8/2016,3/7/2016, ,,
16697,16697,Pfizer Inc. : Pfizer Other 2017,104,Pfizer Inc.,Other,3/24/2017,3/24/2017,Awarded,,
1727,1727,Pfizer Inc. : Pfizer SoP 2015,104,Pfizer Inc.,,2/9/2015,2/9/2015, ,,
1731,1731,Phillips 66 : Phillips 66 Annual Retainer 2015,105,Phillips 66,,8/1/2015,8/1/2015, ,,
1733,1733,Phillips 66 : Phillips 66 Annual Retainer 2016,105,Phillips 66,,7/12/2016,8/1/2016, ,,
1730,1730,Phillips 66 : Phillips 66 SoP 2014,105,Phillips 66,,8/1/2014,8/1/2014, ,,
1732,1732,Phillips 66 : Phillips 66 SoP 2015,105,Phillips 66,,8/27/2015,8/1/2015, ,,
2643,2643,Phillips 66 : Phillips 66 SoP 2016,105,Phillips 66,,7/12/2016,8/1/2016, ,,
1734,1734,Priceline : Priceline Shareholder Proposal 2015,106,Priceline,,4/7/2015,4/7/2015, ,,
1735,1735,QEP Resources : QEP Resources Activism 2014,107,QEP Resources,,2/5/2014,2/5/2014, ,,
